Date,apache,nginx
2005-01,100,0
2005-02,99,0.1
2005-03,100,0
2005-04,91,0
2005-05,93,0.1
2005-06,96,0
2005-07,90,0.1
2005-08,85,0.1
2005-09,88,0.1
2005-10,88,0.1
2005-11,88,0.1
2005-12,83,0.1
2006-01,81,0
2006-02,85,0.1
2006-03,80,0.1
2006-04,78,0
2006-05,78,0.1
2006-06,71,0
2006-07,71,0
2006-08,74,0.1
2006-09,73,0.1
2006-10,67,0.1
2006-11,68,0.1
2006-12,67,0.1
2007-01,64,0.1
2007-02,67,0.1
2007-03,63,0.1
2007-04,63,0.1
2007-05,63,0.1
2007-06,62,0.1
2007-07,59,0.1
2007-08,60,0.1
2007-09,60,0.1
2007-10,61,1
2007-11,57,1
2007-12,55,1
2008-01,55,1
2008-02,53,1
2008-03,54,1
2008-04,52,1
2008-05,49,1
2008-06,49,1
2008-07,49,1
2008-08,44,1
2008-09,46,1
2008-10,47,1
2008-11,45,1
2008-12,43,1
2009-01,43,1
2009-02,46,1
2009-03,45,1
2009-04,44,1
2009-05,42,1
2009-06,42,1
2009-07,43,1
2009-08,38,1
2009-09,39,2
2009-10,38,1
2009-11,39,2
2009-12,36,2
2010-01,38,1
2010-02,39,2
2010-03,40,2
2010-04,40,2
2010-05,36,2
2010-06,36,2
2010-07,35,2
2010-08,34,2
2010-09,35,2
2010-10,34,2
2010-11,36,2
2010-12,34,2
2011-01,33,2
2011-02,33,2
2011-03,33,2
2011-04,33,2
2011-05,33,2
2011-06,32,2
2011-07,31,2
2011-08,31,3
2011-09,30,3
2011-10,31,3
2011-11,31,3
2011-12,28,3
2012-01,28,3
2012-02,30,3
2012-03,31,3
2012-04,29,4
2012-05,31,3
2012-06,30,3
2012-07,31,4
2012-08,29,3
2012-09,29,3
2012-10,29,3
2012-11,28,3
2012-12,26,3
2013-01,26,3
2013-02,28,3
2013-03,28,3
2013-04,29,3
2013-05,27,3
2013-06,26,3
2013-07,28,3
2013-08,26,3
2013-09,27,3
2013-10,29,4
2013-11,27,4
2013-12,24,3
2014-01,26,3
2014-02,27,4
2014-03,28,4
2014-04,29,4
2014-05,27,4
2014-06,27,4
2014-07,26,4
2014-08,26,4
2014-09,27,4
2014-10,28,4
2014-11,27,4
2014-12,25,4
2015-01,27,4
2015-02,28,4
2015-03,27,4
2015-04,27,4
2015-05,26,4
2015-06,28,4
2015-07,27,4
2015-08,27,4
2015-09,27,5
2015-10,27,4
2015-11,27,4
2015-12,25,4
2016-01,27,5
2016-02,27,5
2016-03,27,5
2016-04,26,5
2016-05,25,5
2016-06,27,5
2016-07,25,5
2016-08,26,5
2016-09,27,5
2016-10,27,5
2016-11,26,6
2016-12,26,5
2017-01,27,5
2017-02,28,6
2017-03,28,6
2017-04,26,6
2017-05,25,6
2017-06,25,6
2017-07,25,5
2017-08,24,5
2017-09,26,6
2017-10,25,5
2017-11,25,6
2017-12,28,5
2018-01,25,6
2018-02,27,6
2018-03,27,6
2018-04,26,6
2018-05,27,6
2018-06,26,6
2018-07,26,5
2018-08,26,6
2018-09,26,5
2018-10,26,6
2018-11,26,6
2018-12,24,5
2019-01,24,5
2019-02,25,6
2019-03,26,6
2019-04,25,5
2019-05,23,6
2019-06,25,5
2019-07,25,6
2019-08,26,5
2019-09,26,6
2019-10,27,5
2019-11,27,5
2019-12,24,5
2020-01,25,5
2020-02,25,5
2020-03,24,6
2020-04,21,6
2020-05,23,5
2020-06,24,6
2020-07,24,6
2020-08,25,5
2020-09,23,5
2020-10,23,4
2020-11,20,4
2020-12,20,4
2021-01,20,3
2021-02,21,4
2021-03,21,4
2021-04,19,4
2021-05,19,4
2021-06,19,4
2021-07,19,4
2021-08,19,4
2021-09,19,4
2021-10,17,3
2021-11,16,4
2021-12,19,3
