date,c#,vb
Jan-04,42,140
Feb-04,48,155
Mar-04,48,147
Apr-04,47,153
May-04,46,146
Jun-04,51,163
Jul-04,52,156
Aug-04,50,155
Sep-04,50,161
Oct-04,50,145
Nov-04,52,151
Dec-04,54,154
Jan-05,48,140
Feb-05,55,156
Mar-05,55,145
Apr-05,52,152
May-05,50,141
Jun-05,56,170
Jul-05,59,152
Aug-05,52,145
Sep-05,56,141
Oct-05,58,137
Nov-05,55,147
Dec-05,63,148
Jan-06,57,144
Feb-06,61,150
Mar-06,62,156
Apr-06,63,148
May-06,62,151
Jun-06,68,163
Jul-06,61,137
Aug-06,62,135
Sep-06,64,133
Oct-06,64,132
Nov-06,66,135
Dec-06,66,136
Jan-07,61,119
Feb-07,62,132
Mar-07,65,125
Apr-07,67,132
May-07,65,138
Jun-07,74,144
Jul-07,72,140
Aug-07,73,139
Sep-07,67,116
Oct-07,74,132
Nov-07,74,137
Dec-07,68,131
Jan-08,65,122
Feb-08,73,134
Mar-08,70,129
Apr-08,73,140
May-08,73,132
Jun-08,79,143
Jul-08,79,141
Aug-08,71,133
Sep-08,74,133
Oct-08,75,141
Nov-08,73,134
Dec-08,74,132
Jan-09,69,130
Feb-09,76,142
Mar-09,72,133
Apr-09,72,133
May-09,69,126
Jun-09,78,142
Jul-09,74,133
Aug-09,65,121
Sep-09,68,122
Oct-09,67,130
Nov-09,69,127
Dec-09,70,122
Jan-10,64,117
Feb-10,66,134
Mar-10,64,128
Apr-10,67,126
May-10,62,109
Jun-10,67,124
Jul-10,59,109
Aug-10,54,105
Sep-10,56,109
Oct-10,57,101
Nov-10,58,104
Dec-10,56,101
Jan-11,47,83
Feb-11,49,90
Mar-11,40,76
Apr-11,44,79
May-11,40,68
Jun-11,44,81
Jul-11,39,75
Aug-11,38,66
Sep-11,37,67
Oct-11,40,67
Nov-11,43,65
Dec-11,39,64
Jan-12,36,59
Feb-12,41,65
Mar-12,36,59
Apr-12,34,55
May-12,33,52
Jun-12,34,53
Jul-12,34,53
Aug-12,32,48
Sep-12,31,48
Oct-12,33,48
Nov-12,32,47
Dec-12,28,42
Jan-13,27,41
Feb-13,30,45
Mar-13,28,41
Apr-13,28,42
May-13,29,40
Jun-13,28,41
Jul-13,29,42
Aug-13,25,37
Sep-13,25,38
Oct-13,29,41
Nov-13,28,40
Dec-13,26,38
Jan-14,27,38
Feb-14,28,40
Mar-14,26,34
Apr-14,29,38
May-14,27,38
Jun-14,34,46
Jul-14,35,44
Aug-14,26,37
Sep-14,32,41
Oct-14,33,42
Nov-14,30,38
Dec-14,29,37
Jan-15,27,38
Feb-15,31,42
Mar-15,31,38
Apr-15,29,38
May-15,24,31
Jun-15,32,37
Jul-15,31,35
Aug-15,24,31
Sep-15,25,31
Oct-15,31,33
Nov-15,30,31
Dec-15,28,31
Jan-16,38,31
Feb-16,42,35
Mar-16,40,33
Apr-16,38,31
May-16,36,28
Jun-16,45,35
Jul-16,39,31
Aug-16,34,31
Sep-16,37,31
Oct-16,39,30
Nov-16,41,33
Dec-16,35,33
Jan-17,35,34
Feb-17,41,37
Mar-17,39,35
Apr-17,37,34
May-17,36,31
Jun-17,39,35
Jul-17,35,32
Aug-17,33,30
Sep-17,36,32
Oct-17,38,34
Nov-17,40,34
Dec-17,41,34
Jan-18,35,30
Feb-18,39,34
Mar-18,37,31
Apr-18,36,32
May-18,37,32
Jun-18,39,34
Jul-18,36,32
Aug-18,35,31
Sep-18,33,29
Oct-18,41,34
Nov-18,42,34
Dec-18,32,29
Jan-19,31,27
Feb-19,36,26
Mar-19,32,22
Apr-19,35,29
May-19,34,29
Jun-19,37,29
Jul-19,36,27
Aug-19,30,24
Sep-19,34,27
Oct-19,36,28
Nov-19,36,29
Dec-19,34,25
Jan-20,32,25
Feb-20,34,27
Mar-20,34,25
Apr-20,28,20
May-20,25,19
Jun-20,36,25
Jul-20,35,26
Aug-20,29,22
Sep-20,33,25
Oct-20,31,24
Nov-20,28,21
Dec-20,25,21
Jan-21,23,19
Feb-21,27,22
Mar-21,28,23
Apr-21,27,22
May-21,22,19
Jun-21,29,23
Jul-21,27,21
Aug-21,20,16
Sep-21,24,19
Oct-21,25,20
Nov-21,25,19
Dec-21,23,19
Jan-22,19,16
Feb-22,21,18
Mar-22,23,18
Apr-22,17,15
