Date,jquery,angular,react,vue.js
2016-01,90,12,4,0.1
2016-02,99,13,5,0.1
2016-03,100,13,5,0.1
2016-04,99,14,5,0.1
2016-05,96,13,5,0.1
2016-06,98,15,6,0.1
2016-07,88,13,7,0.1
2016-08,89,13,6,0.1
2016-09,87,14,6,0.1
2016-10,86,14,7,0.1
2016-11,92,14,8,0.1
2016-12,79,13,8,0.1
2017-01,82,15,9,0.1
2017-02,88,16,10,0.1
2017-03,90,17,11,0.1
2017-04,81,14,11,0.1
2017-05,83,15,11,0.1
2017-06,79,15,11,0.1
2017-07,74,15,12,0.1
2017-08,77,16,12,0.1
2017-09,71,15,12,0.1
2017-10,70,15,12,1
2017-11,75,16,13,0.1
2017-12,65,14,11,0.1
2018-01,67,15,12,1
2018-02,70,16,14,0.1
2018-03,68,16,14,0.1
2018-04,65,16,14,1
2018-05,64,16,15,1
2018-06,61,16,16,1
2018-07,59,16,15,0.1
2018-08,57,15,15,1
2018-09,56,15,15,0.1
2018-10,55,15,15,1
2018-11,54,15,15,1
2018-12,45,12,13,1
2019-01,49,15,14,0.1
2019-02,51,15,16,0.1
2019-03,50,16,16,1
2019-04,47,14,17,0.1
2019-05,47,14,17,1
2019-06,47,15,16,0.1
2019-07,50,16,19,0.1
2019-08,45,15,19,0.1
2019-09,44,15,18,0.1
2019-10,45,16,18,0.1
2019-11,44,14,17,0.1
2019-12,40,12,16,0.1
2020-01,39,14,18,0.1
2020-02,42,15,19,0.1
2020-03,37,13,17,0.1
2020-04,37,13,19,0.1
2020-05,35,12,18,0.1
2020-06,36,12,19,0.1
2020-07,35,13,19,0.1
2020-08,33,11,17,0.1
2020-09,34,12,17,0.1
2020-10,27,9,14,0.1
2020-11,24,8,12,0.1
2020-12,24,8,13,0.1
2021-01,23,8,12,0.1
2021-02,26,9,14,0.1
2021-03,26,9,14,0.1
2021-04,23,8,14,0.1
2021-05,22,9,14,0.1
2021-06,24,10,15,0.1
2021-07,23,9,15,0.1
2021-08,22,9,14,0.1
2021-09,23,9,16,0.1
2021-10,18,7,11,0.1
2021-11,18,6,11,0.1
2021-12,18,6,11,0.1
