1,フシギダネ,くさ,どく
2,フシギソウ,くさ,どく
3,フシギバナ,くさ,どく
4,ヒトカゲ,ほのお,
5,リザード,ほのお,
6,リザードン,ほのお,ひこう
7,ゼニガメ,みず,
8,カメール,みず,
9,カメックス,みず,
10,キャタピー,むし,
11,トランセル,むし,
12,バタフリー,むし,ひこう
13,ビードル,むし,どく
14,コクーン,むし,どく
15,スピアー,むし,どく
16,ポッポ,ノーマル,ひこう
17,ピジョン,ノーマル,ひこう
18,ピジョット,ノーマル,ひこう
19,コラッタ,ノーマル,
20,ラッタ,ノーマル,
21,オニスズメ,ノーマル,ひこう
22,オニドリル,ノーマル,ひこう
23,アーボ,どく,
24,アーボック,どく,
25,ピカチュウ,でんき,
26,ライチュウ,でんき,
27,サンド,じめん,
28,サンドパン,じめん,
29,ニドラン♀,どく,
30,ニドリーナ,どく,
31,ニドクイン,どく,じめん
32,ニドラン♂,どく,
33,ニドリーノ,どく,
34,ニドキング,どく,じめん
35,ピッピ,フェアリー,
36,ピクシー,フェアリー,
37,ロコン,ほのお,
38,キュウコン,ほのお,
39,プリン,ノーマル,フェアリー
40,プクリン,ノーマル,フェアリー
41,ズバット,どく,ひこう
42,ゴルバット,どく,ひこう
43,ナゾノクサ,くさ,どく
44,クサイハナ,くさ,どく
45,ラフレシア,くさ,どく
46,パラス,むし,くさ
47,パラセクト,むし,くさ
48,コンパン,むし,どく
49,モルフォン,むし,どく
50,ディグダ,じめん,
51,ダグトリオ,じめん,
52,ニャース,ノーマル,
53,ペルシアン,ノーマル,
54,コダック,みず,
55,ゴルダック,みず,
56,マンキー,かくとう,
57,オコリザル,かくとう,
58,ガーディ,ほのお,
59,ウインディ,ほのお,
60,ニョロモ,みず,
61,ニョロゾ,みず,
62,ニョロボン,みず,かくとう
63,ケーシィ,エスパー,
64,ユンゲラー,エスパー,
65,フーディン,エスパー,
66,ワンリキー,かくとう,
67,ゴーリキー,かくとう,
68,カイリキー,かくとう,
69,マダツボミ,くさ,どく
70,ウツドン,くさ,どく
71,ウツボット,くさ,どく
72,メノクラゲ,みず,どく
73,ドククラゲ,みず,どく
74,イシツブテ,いわ,じめん
75,ゴローン,いわ,じめん
76,ゴローニャ,いわ,じめん
77,ポニータ,ほのお,
78,ギャロップ,ほのお,
79,ヤドン,みず,エスパー
80,ヤドラン,みず,エスパー
81,コイル,でんき,はがね
82,レアコイル,でんき,はがね
83,カモネギ,ノーマル,ひこう
84,ドードー,ノーマル,ひこう
85,ドードリオ,ノーマル,ひこう
86,パウワウ,みず,
87,ジュゴン,みず,こおり
88,ベトベター,どく,
89,ベトベトン,どく,
90,シェルダー,みず,
91,パルシェン,みず,こおり
92,ゴース,ゴースト,どく
93,ゴースト,ゴースト,どく
94,ゲンガー,ゴースト,どく
95,イワーク,いわ,じめん
96,スリープ,エスパー,
97,スリーパー　,エスパー,
98,クラブ,みず,
99,キングラー,みず,
100,ビリリダマ,でんき,
101,マルマイン,でんき,
102,タマタマ,くさ,エスパー
103,ナッシー,くさ,エスパー
104,カラカラ,じめん,
105,ガラガラ,じめん,
106,サワムラー,かくとう,
107,エビワラー,かくとう,
108,ベロリンガ,ノーマル,
109,ドガース,どく,
110,マタドガス,どく,
111,サイホーン,じめん,いわ
112,サイドン,じめん,いわ
113,ラッキー,ノーマル,
114,モンジャラ,くさ,
115,ガルーラ,ノーマル,
116,タッツー,みず,
117,シードラ,みず,
118,トサキント,みず,
119,アズマオウ,みず,
120,ヒトデマン,みず,
121,スターミー,みず,エスパー
122,バリヤード,エスパー,フェアリー
123,ストライク,むし,ひこう
124,ルージュラ,こおり,エスパー
125,エレブー,でんき,
126,ブーバー,ほのお,
127,カイロス,むし,
128,ケンタロス,ノーマル,
129,コイキング,みず,
130,ギャラドス,みず,ひこう
131,ラプラス,みず,こおり
132,メタモン,ノーマル,
133,イーブイ,ノーマル,
134,シャワーズ,みず,
135,サンダース,でんき,
136,ブースター,ほのお,
137,ポリゴン,ノーマル,
138,オムナイト,いわ,みず
139,オムスター,いわ,みず
140,カブト,いわ,みず
141,カブトプス,いわ,みず
142,プテラ,いわ,ひこう
143,カビゴン,ノーマル,
144,フリーザー,こおり,ひこう
145,サンダー,でんき,ひこう
146,ファイヤー,ほのお,ひこう
147,ミニリュウ,ドラゴン,
148,ハクリュー,ドラゴン,
149,カイリュー,ドラゴン,ひこう
150,ミュウツー,エスパー,
151,ミュウ,エスパー,
